are_you_a_ds,activities
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
No,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Maybe,Audio Data
No,Audio Data
Maybe,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Maybe,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
No,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Audio Data
Yes,Audio Data
No,Audio Data
Yes,Audio Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
No,Categorical Data
No,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Maybe,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
Maybe,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
Yes,Categorical Data
No,Categorical Data
